name,link,salary,employer,address
Инженер,https://spb.hh.ru/vacancy/66071055,"{'min': 60000, 'max': 90000, 'cur': 'руб.'}",АО Инженерно-Технический Центр Джэт,Томск
Инженер-менеджер (аренда опалубки),https://spb.hh.ru/vacancy/55154397,"{'min': 100000, 'max': 120000, 'cur': 'руб.'}",ПрофМастер,Москва
Инженер по подготовке производства,https://spb.hh.ru/vacancy/55543139,"{'min': None, 'max': 80000, 'cur': 'руб.'}",ООО Инмет,Санкт-Петербург
Инженер строительного контроля,https://spb.hh.ru/vacancy/55534368,"{'min': 90000, 'max': 130000, 'cur': 'руб.'}",ООО Нефтегазовая инспекция,Нижний Новгород
Инженер-электроник,https://spb.hh.ru/vacancy/55555393,"{'min': None, 'max': 100000, 'cur': 'руб.'}",ООО Авт,Екатеринбург
Инженер проектировщик,https://spb.hh.ru/vacancy/66090477,"{'min': 70000, 'max': 100000, 'cur': 'руб.'}",ООО СК Маск,Москва
Инженер СИД (сбор исходных данных),https://spb.hh.ru/vacancy/66131613,"{'min': 75000, 'max': 90000, 'cur': 'руб.'}",ООО СтройГазКомплект,"Санкт-Петербург, Горьковская"
Инженер,https://spb.hh.ru/vacancy/55352142,"{'min': 30000, 'max': 50000, 'cur': 'руб.'}",ООО НОВАТОР ПЛЮС,Ростов-на-Дону
Инженер ПТО,https://spb.hh.ru/vacancy/55281081,"{'min': 100000, 'max': 115000, 'cur': 'руб.'}",ООО ЦКС,Уфа
Ведущий инженер по серверам и СХД,https://spb.hh.ru/vacancy/66125525,"{'min': 200000, 'max': 240000, 'cur': 'руб.'}",ООО Росукреп,"Москва, Павелецкая"
Инженер-технолог,https://spb.hh.ru/vacancy/55359661,"{'min': 80000, 'max': 90000, 'cur': 'руб.'}",Физиотехника,Санкт-Петербург
Ведущий инженер службы заказчика,https://spb.hh.ru/vacancy/55489844,"{'min': 90000, 'max': 90000, 'cur': 'руб.'}",ООО А-Девелопмент,Сочи
Инженер-проектировщик,https://spb.hh.ru/vacancy/55432898,"{'min': 60000, 'max': 100000, 'cur': 'руб.'}",IS company,Красноярск
Инженер-конструктор (сметчик/чертежник),https://spb.hh.ru/vacancy/55526601,"{'min': 80000, 'max': 150000, 'cur': 'руб.'}",ООО GetStone,Москва
Инженер (эксперт) по обследованию зданий и сооружений,https://spb.hh.ru/vacancy/55582521,"{'min': 90000, 'max': 110000, 'cur': 'руб.'}",ООО ИК СтройЭксперт,Москва
Инженер по контролю качества/QA/QC Engineer,https://spb.hh.ru/vacancy/66111189,"{'min': None, 'max': None, 'cur': None}",ООО КСА ДОЙТАГ Раша,Тюмень
Инженер по специальным работам,https://spb.hh.ru/vacancy/55897211,"{'min': 90000, 'max': None, 'cur': 'руб.'}",ОАО Сварочно-монтажный трест,Москва
Главный инженер,https://spb.hh.ru/vacancy/66063697,"{'min': 100000, 'max': 100000, 'cur': 'руб.'}",ООО Регион,Нижневартовск
Инженер,https://spb.hh.ru/vacancy/49932716,"{'min': 40000, 'max': None, 'cur': 'руб.'}",АО Омское производственное объединение Радиозавод им. А. С. Попова (РЕЛЕРО),Омск
Инженер ОКС,https://spb.hh.ru/vacancy/55437533,"{'min': 75000, 'max': 80000, 'cur': 'руб.'}",ООО Квартал,Краснодар
Инженер-технолог,https://spb.hh.ru/vacancy/55883705,"{'min': 70000, 'max': None, 'cur': 'руб.'}",ООО Континенталь,Копейск
Инженер производственного отдела,https://spb.hh.ru/vacancy/66097999,"{'min': 100000, 'max': 110000, 'cur': 'руб.'}","Мосты и тоннели, СК",Москва
